ts,product,size_threshold,bid_open_xch,bid_open,bid_high_xch,bid_high,bid_low_xch,bid_low,bid_close_xch,bid_close,bid_qty_close,ask_open_xch,ask_open,ask_high_xch,ask_high,ask_low_xch,ask_low,ask_close_xch,ask_close,ask_qty_close,mid_open,mid_high,mid_low,mid_close
2021-09-25 16:44:00,BTC-USD,0.0,kraken,42551.20000000,kraken,42551.20000000,bitstamp,42524.20000000,kraken,42526.20000000,0.00030848,gdax,42534.71000000,kraken,42526.30000000,gdax,42489.01000000,gdax,42507.15000000,0.11763206,42542.955000000000,42538.750000000000,42506.605000000000,42516.675000000000
2021-09-25 16:45:00,BTC-USD,0.0,kraken,42526.20000000,kraken,42526.20000000,bitstamp,42501.47000000,kraken,42526.20000000,0.11545233,gdax,42507.15000000,kraken,42526.30000000,gdax,42490.24000000,gdax,42493.95000000,0.117672,42516.675000000000,42526.250000000000,42495.855000000000,42510.075000000000
2021-09-25 16:46:00,BTC-USD,0.0,kraken,42526.20000000,gdax,42584.64000000,kraken,42551.70000000,gemini,42560.12000000,0.01121679,gdax,42489.01000000,kraken,42503.00000000,gdax,42478.93000000,kraken,42555.20000000,2.86716550,42507.605000000000,42543.820000000000,42515.315000000000,42557.660000000000
2021-09-25 16:47:00,BTC-USD,0.0,gemini,42579.22000000,gemini,42591.98000000,bitstamp,42583.61000000,gemini,42587.40000000,0.00783233,kraken,42561.60000000,bitstamp,42580.06000000,kraken,42561.60000000,kraken,42584.80000000,0.39363572,42570.410000000000,42586.020000000000,42572.605000000000,42586.100000000000
2021-09-25 16:48:00,BTC-USD,0.0,gemini,42588.79000000,gdax,42630.20000000,gemini,42623.48000000,gdax,42623.88000000,0.00199374,kraken,42584.80000000,bitstamp,42590.12000000,gdax,42580.93000000,gemini,42623.48000000,0.01142765,42586.795000000000,42610.160000000000,42602.205000000000,42623.680000000000
2021-09-25 16:49:00,BTC-USD,0.0,gdax,42625.27000000,gdax,42707.77000000,kraken,42673.70000000,bitstamp,42682.59000000,0.05894268,gemini,42623.48000000,bitstamp,42622.54000000,gdax,42610.98000000,kraken,42673.80000000,0.10046651,42624.375000000000,42665.155000000000,42642.340000000000,42678.195000000000
2021-09-25 16:50:00,BTC-USD,0.0,bitstamp,42682.59000000,gdax,42707.97000000,kraken,42673.70000000,kraken,42673.00000000,0.11361564,kraken,42673.80000000,kraken,42673.10000000,gdax,42646.59000000,gemini,42653.59000000,0.02356409,42678.195000000000,42690.535000000000,42660.145000000000,42663.295000000000
2021-09-25 16:51:00,BTC-USD,0.0,kraken,42673.00000000,gdax,42697.52000000,kraken,42674.80000000,bitstamp,42679.48000000,0.06456982,gdax,42651.77000000,kraken,42673.10000000,gdax,42636.25000000,gemini,42679.99000000,0.02,42662.385000000000,42685.310000000000,42655.525000000000,42679.735000000000
2021-09-25 16:52:00,BTC-USD,0.0,kraken,42682.60000000,gdax,42699.99000000,kraken,42692.20000000,kraken,42673.00000000,0.10860397,gemini,42679.99000000,kraken,42673.10000000,gdax,42655.06000000,gdax,42658.17000000,0.11721999,42681.295000000000,42686.545000000000,42673.630000000000,42665.585000000000
2021-09-25 16:53:00,BTC-USD,0.0,kraken,42673.00000000,kraken,42673.00000000,bitstamp,42656.70000000,kraken,42673.00000000,0.10625925,gemini,42651.25000000,kraken,42673.10000000,gdax,42640.28000000,gdax,42657.36000000,0.017,42662.125000000000,42673.050000000000,42648.490000000000,42665.180000000000
2021-09-25 16:54:00,BTC-USD,0.0,kraken,42673.00000000,bitstamp,42706.91000000,kraken,42692.20000000,gemini,42689.17000000,0.01,gdax,42660.08000000,kraken,42673.10000000,gdax,42642.82000000,gdax,42684.22000000,0.18,42666.540000000000,42690.005000000000,42667.510000000000,42686.695000000000
2021-09-25 16:55:00,BTC-USD,0.0,gemini,42687.42000000,gemini,42702.04000000,kraken,42687.00000000,gemini,42687.42000000,0.02161615,gdax,42683.50000000,gemini,42687.43000000,gdax,42667.61000000,gdax,42671.53000000,0.88,42685.460000000000,42694.735000000000,42677.305000000000,42679.475000000000
2021-09-25 16:56:00,BTC-USD,0.0,kraken,42673.00000000,gemini,42682.79000000,gdax,42673.00000000,gemini,42675.39000000,0.00086851,gemini,42669.84000000,gemini,42664.97000000,gdax,42647.50000000,gdax,42663.38000000,0.1365,42671.420000000000,42673.880000000000,42660.250000000000,42669.385000000000
2021-09-25 16:57:00,BTC-USD,0.0,kraken,42671.50000000,kraken,42671.50000000,bitstamp,42662.49000000,kraken,42651.20000000,0.00020000,gdax,42656.94000000,kraken,42651.30000000,gdax,42627.86000000,gdax,42633.39000000,0.05,42664.220000000000,42661.400000000000,42645.175000000000,42642.295000000000
2021-09-25 16:58:00,BTC-USD,0.0,kraken,42651.20000000,kraken,42651.20000000,bitstamp,42627.75000000,kraken,42651.20000000,2.30791206,gdax,42633.70000000,kraken,42651.30000000,gdax,42606.89000000,gdax,42611.06000000,0.0337835,42642.450000000000,42651.250000000000,42617.320000000000,42631.130000000000
2021-09-25 16:59:00,BTC-USD,0.0,kraken,42651.20000000,bitstamp,42668.98000000,kraken,42651.20000000,gemini,42661.86000000,0.0008478,gdax,42611.08000000,kraken,42651.30000000,gdax,42611.08000000,kraken,42651.30000000,0.02021658,42631.140000000000,42660.140000000000,42631.140000000000,42656.580000000000
2021-09-25 17:00:00,BTC-USD,0.0,gemini,42661.86000000,gemini,42665.03000000,kraken,42651.20000000,gemini,42665.03000000,1.0204369,kraken,42651.30000000,kraken,42651.30000000,gdax,42624.44000000,kraken,42651.30000000,0.73393189,42656.580000000000,42658.165000000000,42637.820000000000,42658.165000000000
2021-09-25 17:01:00,BTC-USD,0.0,gemini,42665.03000000,bitstamp,42685.77000000,kraken,42681.40000000,kraken,42651.20000000,2.06194495,kraken,42651.30000000,kraken,42651.30000000,gdax,42631.22000000,gdax,42631.65000000,0.02356,42658.165000000000,42668.535000000000,42656.310000000000,42641.425000000000
2021-09-25 17:02:00,BTC-USD,0.0,kraken,42651.20000000,kraken,42651.20000000,bitstamp,42633.06000000,gdax,42584.81000000,0.1299,gdax,42631.65000000,bitstamp,42584.56000000,gdax,42574.15000000,gemini,42579.89000000,0.000005140000,42641.425000000000,42617.880000000000,42603.605000000000,42582.350000000000
2021-09-25 17:03:00,BTC-USD,0.0,gdax,42590.19000000,gemini,42613.22000000,kraken,42603.90000000,gemini,42613.22000000,0.02178051,gdax,42590.55000000,bitstamp,42589.71000000,gdax,42573.54000000,kraken,42604.80000000,0.32944956,42590.370000000000,42601.465000000000,42588.720000000000,42609.010000000000
2021-09-25 17:04:00,BTC-USD,0.0,gemini,42614.05000000,gemini,42659.61000000,kraken,42648.70000000,gemini,42646.86000000,0.01364622,kraken,42604.90000000,bitstamp,42630.56000000,kraken,42604.90000000,gdax,42634.82000000,0.18,42609.475000000000,42645.085000000000,42626.800000000000,42640.840000000000
2021-09-25 17:05:00,BTC-USD,0.0,gemini,42644.69000000,gemini,42659.63000000,kraken,42645.90000000,gemini,42622.21000000,0.0781791,gdax,42628.23000000,gemini,42622.22000000,kraken,42614.60000000,kraken,42614.60000000,0.88000000,42636.460000000000,42640.925000000000,42630.250000000000,42618.405000000000
